date,day_of_week,location,building,meal_period,station,item_name,item_id,portion,description,added_sugar_g,calcium_mg,calories,calories_from_fat,cholesterol_mg,fiber_g,iron_mg,potassium_mg,protein_g,sat_fat_g,sodium_mg,sugar_g,total_carbs_g,total_fat_g,trans_fat_g,vitamin_c_mg,vitamin_d_mcg,ingredients,allergens,dietary_labels
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Americano,68c896015667565deb1b0028,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,California Cold Brew,68c8967989a3bec221c3a1a6,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Cappuccino,68c8962d384749b231c54d45,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Coffee,68c895ed3d119b570f195705,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Cold Brew,68c896665667565deb1b8171,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Espresso,68c895f8edc71da843c4a6d0,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Flavored Latte,68c89651a1bf03cf7dc4799b,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Gibraltar,68c8961fd3bac9b850c55179,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Latte,68c89637015b0d9f0dc3e3dc,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Macchiato,68c89611d3bac9b850c54cd5,—,Traditional 4 oz,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Mocha,68c8965bf756598dd0c517a9,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,Coffee,Vanilla Bean Latte,68c89643e8fba8852fc4e9f9,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Brown Sugar Rosemary,68c896dff81411872f1af50d,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Butterscotch,68c896bea4dfd68bb2c46c35,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Honey,68c89690f81411872f1ac4c0,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Honey Lavender,68c8969d947c2128431a4864,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Maple Spice,68c896d1f756598dd0c56f5e,—,,,,,,,,,,,,,,,,,,,,,
2026-04-26,Sunday,Scout Coffee Co.,yakʔitʸutʸu Neighborhood,Every Day,House-Made Syrups,Raw Sugar and Whiskey,68c896aa5667565deb1bd54e,—,,,,,,,,,,,,,,,,,,,,,
